lane,log10_acid_activity,log10_base_activity,auxiliary_0,auxiliary_1,maximum_normalized_violation
214,-2.9333457946777344,-2.7333455085754395,1.6996410730928137e-38,-0.0,2.0019753042674663e-07
215,-2.7538626194000244,-2.5538625717163086,0.0,-0.0,3.161013638317052e-08
216,-2.9005889892578125,-2.7005887031555176,1.328659495959458e-38,-0.0,2.0019753042674663e-07
217,-2.7202820777893066,-2.520282030105591,0.0,-0.0,3.161013638317052e-08
218,-2.8854222297668457,-2.68542218208313,0.0,-1.2509751524732973e-38,3.161013638317052e-08
219,-2.825681686401367,-2.6256814002990723,1.203589684382768e-38,-0.0,2.0019753042674663e-07
220,-2.721038341522217,-2.521038055419922,0.0,-0.0,2.0019753042674663e-07
221,-2.772724151611328,-2.572723865509033,1.240302723239153e-38,-1.477103946830011e-38,2.0019753042674663e-07
222,-2.828615427017212,-2.628615140914917,1.3099988246995837e-38,-0.0,2.0019753042674663e-07
223,-2.7409369945526123,-2.5409369468688965,0.0,-0.0,3.161013638317052e-08
224,-2.772514581680298,-2.572514533996582,0.0,-0.0,3.161013638317052e-08
225,-2.700472593307495,-2.5004725456237793,1.5136559764928452e-38,-0.0,3.161013638317052e-08
226,-2.780076742172241,-2.5800764560699463,1.6475646182631105e-38,-0.0,2.0019753042674663e-07
227,-2.8418099880218506,-2.6418097019195557,0.0,-0.0,2.0019753042674663e-07
228,-2.7745864391326904,-2.5745861530303955,1.4292313873932822e-38,-1.4729830083061245e-38,2.0019753042674663e-07
229,-2.753103494644165,-2.553103446960449,0.0,-0.0,3.161013638317052e-08
230,-2.75156307220459,-2.551562786102295,0.0,-1.7077402979569182e-38,2.0019753042674663e-07
231,-2.810016632080078,-2.610016345977783,1.5666679381773317e-38,-0.0,2.0019753042674663e-07
232,-2.748410701751709,-2.548410415649414,1.4919627552263256e-38,-0.0,2.0019753042674663e-07
233,-2.7847533226013184,-2.5847532749176025,1.2491419738222676e-38,-0.0,3.161013638317052e-08
234,-2.8084070682525635,-2.6084070205688477,0.0,-1.3492086971597028e-38,3.161013638317052e-08
235,-2.9188437461853027,-2.718843460083008,0.0,-1.2050924368559099e-38,2.0019753042674663e-07
236,-2.8181636333465576,-2.6181633472442627,1.401035300473217e-38,-0.0,2.0019753042674663e-07
237,-2.7938268184661865,-2.5938265323638916,1.3589042812343662e-38,-0.0,2.0019753042674663e-07
238,-2.912147045135498,-2.7121469974517822,1.3358338638371082e-38,-0.0,3.161013638317052e-08
239,-2.7161831855773926,-2.5161831378936768,1.5655407336926288e-38,-0.0,3.161013638317052e-08
240,-2.9152307510375977,-2.715230703353882,1.3196634400781855e-38,-1.3207291275603045e-38,3.161013638317052e-08
241,-2.8112170696258545,-2.6112167835235596,1.4648268907243684e-38,-1.6213844393138228e-38,2.0019753042674663e-07
242,-2.696316957473755,-2.49631667137146,1.4257819510935003e-38,-0.0,2.0019753042674663e-07
243,-2.8578150272369385,-2.6578149795532227,0.0,-1.7527277239854486e-38,3.161013638317052e-08
244,-2.7123656272888184,-2.5123653411865234,1.3796472820122272e-38,-1.501571178536508e-38,2.0019753042674663e-07
245,-2.862064838409424,-2.662064790725708,0.0,-1.3182359373325778e-38,3.161013638317052e-08
246,-2.7744243144989014,-2.5744240283966064,1.489108029994803e-38,-0.0,2.0019753042674663e-07
247,-2.9442806243896484,-2.7442803382873535,0.0,-0.0,2.0019753042674663e-07
248,-2.9105005264282227,-2.7105002403259277,0.0,-0.0,2.0019753042674663e-07
249,-2.7816238403320312,-2.5816237926483154,0.0,-0.0,3.161013638317052e-08
250,-2.75162935256958,-2.5516293048858643,1.1894482006703412e-38,-1.5445232185456066e-38,3.161013638317052e-08
251,-2.6481924057006836,-2.4481921195983887,1.2025828514361505e-38,-0.0,2.0019753042674663e-07
252,-2.7304153442382812,-2.5304150581359863,0.0,-0.0,2.0019753042674663e-07
253,-2.7504706382751465,-2.5504705905914307,1.5950932775261606e-38,-0.0,3.161013638317052e-08
254,-2.766524076461792,-2.566523790359497,1.5810906624915484e-38,-0.0,2.0019753042674663e-07
255,-2.6607463359832764,-2.4607462882995605,1.6974586908644742e-38,-0.0,3.161013638317052e-08
256,-2.791741371154785,-2.5917413234710693,0.0,-1.6678442096388192e-38,3.161013638317052e-08
