lane,E,ES,S,P,maximum_packed_normalized_violation,maximum_authored_normalized_violation
32,7.65665590763092,2.3433440923690796,77.81915664672852,19.837504625320435,3.097148193542142e-07,3.097148193542142e-07
33,7.489333748817444,2.510666251182556,77.78741359710693,19.70191478729248,3.097148193542142e-07,3.097148193542142e-07
34,7.513807415962219,2.486192286014557,77.72293090820312,19.790881872177124,2.925084405012023e-07,2.925084405012023e-07
35,7.552189826965332,2.447810024023056,77.90829658508301,19.6438992023468,3.3552438763373206e-07,3.3552438763373206e-07
36,7.7211689949035645,2.2788310050964355,78.0266809463501,19.694494009017944,3.44127577060238e-07,3.44127577060238e-07
37,7.733750939369202,2.2662487626075745,77.85691261291504,19.876846075057983,4.301594713252975e-07,4.301594713252975e-07
38,7.488569617271423,2.5114303827285767,77.6377010345459,19.850860834121704,4.473658501783094e-07,4.473658501783094e-07
39,7.434271574020386,2.565729022026062,77.56768703460693,19.866576194763184,4.473658501783094e-07,4.473658501783094e-07
40,7.50767707824707,2.492322623729706,77.95259952545166,19.55508589744568,4.645722290313213e-07,4.645722290313213e-07
41,7.5338733196258545,2.4661263823509216,77.7716588973999,19.76220965385437,2.925084405012023e-07,2.925084405012023e-07
42,7.586871385574341,2.4131284654140472,77.59459018707275,19.992289543151855,4.7317541845782724e-07,4.7317541845782724e-07
43,7.425202131271362,2.5747978687286377,77.65444755554199,19.77075219154358,1.376510308240952e-07,1.376510308240952e-07
44,7.783173322677612,2.2168266773223877,77.85493850708008,19.92824077606201,3.44127577060238e-07,3.44127577060238e-07
45,7.590421438217163,2.409578263759613,77.69541263580322,19.895013570785522,2.580956827951785e-07,2.580956827951785e-07
46,7.643786668777466,2.356213331222534,78.06879043579102,19.57499623298645,0.0,0.0
47,7.621694803237915,2.3783056437969208,77.88222312927246,19.739471673965454,3.161013638317052e-08,3.161013638317052e-08
48,7.788568139076233,2.211431562900543,77.91501998901367,19.87355351448059,2.925084405012023e-07,2.925084405012023e-07
49,7.539786100387573,2.460213601589203,77.72866725921631,19.81111168861389,4.301594713252975e-07,4.301594713252975e-07
50,7.470134496688843,2.529866099357605,77.7318811416626,19.738253355026245,4.214684851089403e-08,4.214684851089403e-08
51,7.468980550765991,2.531019449234009,78.01302433013916,19.45595383644104,1.376510308240952e-07,1.376510308240952e-07
52,7.71940290927887,2.2805967926979065,77.86914825439453,19.850257635116577,1.548574096771071e-07,1.548574096771071e-07
53,7.687222361564636,2.31277734041214,77.91167259216309,19.77555751800537,4.301594713252975e-07,4.301594713252975e-07
54,7.473692893981934,2.5263074040412903,77.59136199951172,19.88232135772705,5.333977444433689e-07,5.333977444433689e-07
55,7.5637078285217285,2.4362921714782715,77.79919624328613,19.764506816864014,2.753020616481904e-07,2.753020616481904e-07
56,7.591270208358765,2.408730238676071,77.62403964996338,19.967228174209595,1.1184146254457734e-07,1.1184146254457734e-07
57,7.562781572341919,2.437218427658081,77.9934024810791,19.56937313079834,3.44127577060238e-07,3.44127577060238e-07
58,7.652606964111328,2.347392737865448,77.6787519454956,19.973864555358887,5.333977444433689e-07,5.333977444433689e-07
59,7.6776474714279175,2.3223528265953064,77.64671325683594,20.030927658081055,3.6133395591324993e-07,3.6133395591324993e-07
60,7.705402970314026,2.29459747672081,77.86599159240723,19.83940601348877,2.839052510746963e-07,2.839052510746963e-07
61,7.617274522781372,2.382725179195404,78.18355083465576,19.43373203277588,4.645722290313213e-07,4.645722290313213e-07
62,7.707337737083435,2.292662262916565,78.17842483520508,19.528909921646118,1.72063788530119e-07,1.72063788530119e-07
63,7.614952921867371,2.3850467801094055,77.66762733459473,19.94733214378357,3.6133395591324993e-07,3.6133395591324993e-07
64,7.59202778339386,2.407972812652588,77.66683101654053,19.925190210342407,3.44127577060238e-07,3.44127577060238e-07
65,7.50027060508728,2.4997295439243317,77.66214847564697,19.838122129440308,1.0536712127723507e-08,1.0536712127723507e-08
66,7.540125846862793,2.459873855113983,77.94354438781738,19.596586227416992,2.580956827951785e-07,2.580956827951785e-07
67,7.7021074295043945,2.2978922724723816,78.12848567962646,19.573625326156616,1.892701673831309e-07,1.892701673831309e-07
68,7.661135196685791,2.338864654302597,78.08544635772705,19.575695991516113,4.0434990304577965e-07,4.0434990304577965e-07
69,7.740862965583801,2.2591370344161987,77.65779972076416,20.083067417144775,2.408893039421666e-07,2.408893039421666e-07
70,7.511584758758545,2.488414943218231,78.05100440979004,19.460586309432983,3.269211982072261e-07,3.269211982072261e-07
71,7.569400668144226,2.430599629878998,77.6668643951416,19.902530908584595,2.925084405012023e-07,2.925084405012023e-07
