lane,v_in,v_A,v_B,v_out,maximum_normalized_violation
81,8.347999453544617,5.344914197921753,3.003084361553192,8.347997665405273,5.16191365590357e-08
82,8.252489566802979,5.2476924657821655,3.0047962069511414,8.252487778663635,5.16191365590357e-08
83,8.384429812431335,5.378602147102356,3.005826473236084,8.384428024291992,6.88255154120476e-08
84,8.288739919662476,5.2848899364471436,3.0038493871688843,8.28873872756958,3.44127577060238e-08
85,8.549038767814636,5.543895363807678,3.0051425099372864,8.549036979675293,5.16191365590357e-08
86,8.406931757926941,5.402756929397583,3.0041736364364624,8.406929969787598,6.88255154120476e-08
87,8.361470699310303,5.357649922370911,3.0038198828697205,8.36146891117096,5.16191365590357e-08
88,8.460794687271118,5.4556578397750854,3.005135953426361,8.460792899131775,5.16191365590357e-08
89,8.387526273727417,5.3839415311813354,3.00358384847641,8.387524485588074,5.16191365590357e-08
90,8.30121397972107,5.294899344444275,3.006313741207123,8.301212191581726,5.16191365590357e-08
91,8.374791741371155,5.3697532415390015,3.005037307739258,8.374789953231812,6.88255154120476e-08
92,8.414464592933655,5.410534143447876,3.003929555416107,8.414462804794312,5.16191365590357e-08
93,8.59293520450592,5.588582754135132,3.004351258277893,8.592933416366577,6.88255154120476e-08
94,8.528004884719849,5.524204969406128,3.003799319267273,8.528003692626953,3.44127577060238e-08
95,8.179051876068115,5.174805521965027,3.0042454600334167,8.179050087928772,5.16191365590357e-08
96,8.423193097114563,5.419965386390686,3.0032268166542053,8.42319130897522,5.16191365590357e-08
97,8.523988127708435,5.519892573356628,3.004094660282135,8.523986339569092,5.16191365590357e-08
98,8.355900049209595,5.3524768352508545,3.0034223198890686,8.355898261070251,5.16191365590357e-08
99,8.429831862449646,5.4235899448394775,3.006240725517273,8.429830074310303,6.88255154120476e-08
100,8.126303553581238,5.121113061904907,3.005189299583435,8.126301765441895,6.88255154120476e-08
101,8.195191025733948,5.190809965133667,3.0043798685073853,8.195189237594604,6.88255154120476e-08
102,8.25691282749176,5.252892374992371,3.004019558429718,8.256911039352417,5.16191365590357e-08
103,8.30567181110382,5.300226211547852,3.0054447054862976,8.305670022964478,5.16191365590357e-08
104,8.313794136047363,5.310817360877991,3.002976179122925,8.313792943954468,3.44127577060238e-08
105,8.38008463382721,5.374707579612732,3.005375862121582,8.380082845687866,6.88255154120476e-08
106,8.417893648147583,5.41256308555603,3.005329668521881,8.41789186000824,5.16191365590357e-08
107,8.430437445640564,5.426340103149414,3.0040961503982544,8.43043565750122,6.88255154120476e-08
108,8.469158411026001,5.463657975196838,3.005499541759491,8.469156622886658,5.16191365590357e-08
109,8.184778094291687,5.180310606956482,3.0044665932655334,8.184776306152344,5.16191365590357e-08
110,8.440104722976685,5.435760021209717,3.00434410572052,8.440103530883789,3.44127577060238e-08
111,8.100115060806274,5.095810294151306,3.0043038725852966,8.100113272666931,5.16191365590357e-08
112,8.220981359481812,5.215669274330139,3.0053114891052246,8.220980167388916,3.44127577060238e-08
113,8.277400732040405,5.273198485374451,3.004201352596283,8.277398943901062,5.16191365590357e-08
114,8.205646276473999,5.20197331905365,3.0036720633506775,8.205644488334656,5.16191365590357e-08
115,8.170162439346313,5.163924694061279,3.0062368512153625,8.17016065120697,5.16191365590357e-08
116,8.388602137565613,5.383264422416687,3.0053365230560303,8.38860034942627,6.88255154120476e-08
117,8.456517457962036,5.4526859521865845,3.00383061170578,8.456515669822693,5.16191365590357e-08
118,8.239432573318481,5.235334634780884,3.004097044467926,8.239430785179138,5.16191365590357e-08
119,8.265758156776428,5.261864066123962,3.003893196582794,8.265756368637085,5.16191365590357e-08
120,8.417116403579712,5.412550568580627,3.0045652389526367,8.417115211486816,3.44127577060238e-08
121,8.321483731269836,5.317310094833374,3.004172444343567,8.321481943130493,6.88255154120476e-08
122,8.296209573745728,5.289522409439087,3.006686270236969,8.296207785606384,5.16191365590357e-08
123,8.227676153182983,5.222132205963135,3.005543053150177,8.22767436504364,5.16191365590357e-08
124,8.53884756565094,5.533420443534851,3.0054259300231934,8.538845777511597,6.88255154120476e-08
125,8.14052700996399,5.135890245437622,3.0046358704566956,8.140525221824646,5.16191365590357e-08
126,8.38119924068451,5.376415252685547,3.004782795906067,8.381197452545166,6.88255154120476e-08
127,8.386309742927551,5.382518768310547,3.0037900805473328,8.386307954788208,5.16191365590357e-08
128,8.351988196372986,5.347988605499268,3.0039986968040466,8.351986408233643,5.16191365590357e-08
129,8.518858551979065,5.514089465141296,3.004767894744873,8.518856763839722,6.88255154120476e-08
130,8.2775217294693,5.273181200027466,3.004339635372162,8.277519941329956,5.16191365590357e-08
131,8.300047516822815,5.29531717300415,3.004729151725769,8.300045728683472,6.88255154120476e-08
132,8.34849238395691,5.343669056892395,3.0048224329948425,8.348490595817566,5.16191365590357e-08
133,8.437418937683105,5.4312461614608765,3.0061718821525574,8.437417149543762,5.16191365590357e-08
134,8.338861465454102,5.33267080783844,3.00618976354599,8.338859677314758,5.16191365590357e-08
135,8.39562177658081,5.390809178352356,3.004811704158783,8.395619988441467,5.16191365590357e-08
136,8.385002613067627,5.3791505098342896,3.0058512091636658,8.385000824928284,5.16191365590357e-08
137,8.300794959068298,5.294889211654663,3.0059045553207397,8.300793170928955,6.88255154120476e-08
138,8.39160144329071,5.385160446166992,3.0064398050308228,8.391599655151367,6.88255154120476e-08
139,8.537569642066956,5.533303618431091,3.0042648315429688,8.537567853927612,6.88255154120476e-08
140,8.503965735435486,5.4987019300460815,3.0052629113197327,8.503963947296143,5.16191365590357e-08
141,8.31097424030304,5.305572748184204,3.00540030002594,8.310972452163696,6.88255154120476e-08
142,8.268466591835022,5.264413952827454,3.0040517449378967,8.268464803695679,5.16191365590357e-08
143,8.314186930656433,5.308340787887573,3.0058449506759644,8.31418514251709,6.88255154120476e-08
144,8.306288123130798,5.300418734550476,3.0058684945106506,8.306286334991455,5.16191365590357e-08
145,8.3694988489151,5.365447402000427,3.0040502548217773,8.369497060775757,6.88255154120476e-08
146,8.420743942260742,5.415913462638855,3.0048295855522156,8.420742154121399,5.16191365590357e-08
147,8.305947184562683,5.301097631454468,3.0048486590385437,8.30594539642334,5.16191365590357e-08
148,8.362274169921875,5.3583455085754395,3.003928065299988,8.36227297782898,3.44127577060238e-08
149,8.31372618675232,5.3072190284729,3.0065062642097473,8.313724398612976,5.16191365590357e-08
150,8.211807012557983,5.207299590110779,3.004506528377533,8.21180522441864,5.16191365590357e-08
151,8.384629487991333,5.379331707954407,3.0052968859672546,8.38462769985199,5.16191365590357e-08
152,8.304124474525452,5.300800800323486,3.0033227801322937,8.304122686386108,5.16191365590357e-08
153,8.364388346672058,5.359333157539368,3.005053997039795,8.364386558532715,6.88255154120476e-08
154,8.325116634368896,5.3200578689575195,3.0050578713417053,8.325114846229553,5.16191365590357e-08
155,8.284799456596375,5.279417634010315,3.005380630493164,8.284797668457031,6.88255154120476e-08
156,8.358132243156433,5.352566242218018,3.00556480884552,8.35813045501709,6.88255154120476e-08
157,8.360685110092163,5.35663366317749,3.004050552845001,8.36068332195282,5.16191365590357e-08
158,8.141345381736755,5.136341452598572,3.005002737045288,8.141343593597412,6.88255154120476e-08
159,8.228256702423096,5.223003625869751,3.005252182483673,8.228254914283752,5.16191365590357e-08
160,8.163687586784363,5.158541798591614,3.0051445960998535,8.16368579864502,6.88255154120476e-08
161,8.238263726234436,5.233628153800964,3.0046346783638,8.238261938095093,5.16191365590357e-08
162,8.426275253295898,5.4218971729278564,3.0043771862983704,8.426273465156555,5.16191365590357e-08
163,8.287419080734253,5.283282399177551,3.00413578748703,8.28741729259491,5.16191365590357e-08
164,8.258566856384277,5.252813696861267,3.0057522654533386,8.258565068244934,5.16191365590357e-08
165,8.271177411079407,5.265623927116394,3.005552589893341,8.271175622940063,5.16191365590357e-08
166,8.40917706489563,5.403203368186951,3.0059728026390076,8.409175276756287,5.16191365590357e-08
167,8.256916999816895,5.252446532249451,3.004469573497772,8.256915211677551,5.16191365590357e-08
168,8.337656259536743,5.331118106842041,3.0065372586250305,8.3376544713974,5.16191365590357e-08
169,8.368430137634277,5.361796617507935,3.006632626056671,8.368428349494934,5.16191365590357e-08
170,8.29659104347229,5.29024600982666,3.0063441395759583,8.296589255332947,5.16191365590357e-08
171,8.407880067825317,5.402656197547913,3.005222976207733,8.407878279685974,5.16191365590357e-08
172,8.382696509361267,5.377559065818787,3.005136549472809,8.382694721221924,5.16191365590357e-08
173,8.332930207252502,5.328160524368286,3.0047687888145447,8.33292841911316,5.16191365590357e-08
174,8.325167298316956,5.319342613220215,3.005823493003845,8.325165510177612,6.88255154120476e-08
175,8.2248854637146,5.221011638641357,3.0038729310035706,8.224883675575256,5.16191365590357e-08
176,8.382593393325806,5.377392768859863,3.0051997303962708,8.382591605186462,5.16191365590357e-08
177,8.318477869033813,5.313570499420166,3.004906475543976,8.31847608089447,5.16191365590357e-08
178,8.302849531173706,5.297883152961731,3.0049657821655273,8.30284833908081,3.44127577060238e-08
179,8.340051174163818,5.335457921028137,3.0045923590660095,8.340049386024475,5.16191365590357e-08
180,8.129437565803528,5.124493837356567,3.004942536354065,8.129435777664185,6.88255154120476e-08
181,8.39699387550354,5.391104817390442,3.0058881640434265,8.396992087364197,5.16191365590357e-08
182,8.244216442108154,5.239547491073608,3.0046680569648743,8.244214653968811,5.16191365590357e-08
183,8.212817907333374,5.2086979150772095,3.004119396209717,8.212816715240479,3.44127577060238e-08
184,8.2418292760849,5.237609148025513,3.0042192339897156,8.241827487945557,5.16191365590357e-08
185,8.23254644870758,5.227999687194824,3.004545569419861,8.232544660568237,6.88255154120476e-08
186,8.366400599479675,5.361835956573486,3.0045634508132935,8.366398811340332,6.88255154120476e-08
187,8.306028246879578,5.300807356834412,3.0052196979522705,8.306026458740234,6.88255154120476e-08
188,8.509401679039001,5.503440499305725,3.005959987640381,8.509399890899658,6.88255154120476e-08
189,8.468770980834961,5.464062690734863,3.004707396030426,8.468769192695618,5.16191365590357e-08
190,8.2346773147583,5.2284836769104,3.0061927437782288,8.234675526618958,5.16191365590357e-08
191,8.42199444770813,5.416403412818909,3.0055901408195496,8.421992659568787,5.16191365590357e-08
192,8.355531096458435,5.3512924909591675,3.004237711429596,8.355529308319092,5.16191365590357e-08
193,8.501589298248291,5.496982932090759,3.00460547208786,8.501587510108948,5.16191365590357e-08
194,8.298634886741638,5.293907523155212,3.004726469516754,8.298633098602295,5.16191365590357e-08
195,8.30528736114502,5.3016197681427,3.0036669969558716,8.305286169052124,3.44127577060238e-08
196,8.27261507511139,5.267308950424194,3.0053049325942993,8.272613286972046,6.88255154120476e-08
197,8.449577689170837,5.444668531417847,3.004908263683319,8.449575901031494,5.16191365590357e-08
198,8.327528238296509,5.323732495307922,3.003794848918915,8.327526450157166,5.16191365590357e-08
199,8.265600800514221,5.261587500572205,3.004012107849121,8.265599012374878,6.88255154120476e-08
200,8.334894180297852,5.3306955099105835,3.0041977763175964,8.334892392158508,5.16191365590357e-08
201,8.247560262680054,5.243905782699585,3.003653883934021,8.247559070587158,3.44127577060238e-08
202,8.259226083755493,5.255175828933716,3.0040493607521057,8.25922429561615,5.16191365590357e-08
203,8.429924845695496,5.426622629165649,3.0033013224601746,8.429923057556152,5.16191365590357e-08
204,8.21945309638977,5.215359926223755,3.004092276096344,8.219451308250427,5.16191365590357e-08
205,8.440701961517334,5.435836911201477,3.0048641562461853,8.44070017337799,5.16191365590357e-08
206,8.241881728172302,5.236901044845581,3.0049794912338257,8.241879940032959,6.88255154120476e-08
207,8.406547904014587,5.400535464286804,3.0060112476348877,8.406546115875244,6.88255154120476e-08
208,8.11399221420288,5.108394026756287,3.0055972933769226,8.113990426063538,5.16191365590357e-08
209,8.324913382530212,5.319581627845764,3.0053305625915527,8.32491159439087,6.88255154120476e-08
210,8.266125321388245,5.259497761726379,3.0066266655921936,8.266123533248901,5.16191365590357e-08
211,8.4693443775177,5.4648661613464355,3.004477322101593,8.469342589378357,5.16191365590357e-08
212,8.414117693901062,5.409431457519531,3.004685342311859,8.414115905761719,5.16191365590357e-08
213,8.389804363250732,5.384519100189209,3.005284368991852,8.38980257511139,5.16191365590357e-08
214,8.264743685722351,5.261474251747131,3.003268539905548,8.264741897583008,5.16191365590357e-08
215,8.322302103042603,5.317602157592773,3.0046990513801575,8.32230031490326,5.16191365590357e-08
216,8.331145644187927,5.327885746955872,3.003259003162384,8.331143856048584,5.16191365590357e-08
217,8.350239396095276,5.345235466957092,3.005003035068512,8.350237607955933,5.16191365590357e-08
218,8.270449042320251,5.2663737535476685,3.0040743947029114,8.270447254180908,5.16191365590357e-08
