lane,E,ES,S,P,maximum_normalized_violation
68,7.66112744808197,2.3388589918613434,78.08544635772705,19.575700759887695,9.588408036228391e-07
69,7.740854620933533,2.2591330111026764,77.657790184021,20.08307933807373,8.745471066010511e-07
70,7.511584758758545,2.4884118139743805,78.05100917816162,19.460585117340088,3.5273076648674397e-07
71,7.569400668144226,2.430599331855774,77.6668643951416,19.9025297164917,3.785403347662618e-07
72,7.616211175918579,2.383750081062317,77.88094520568848,19.735329151153564,2.7395451532081117e-06
73,7.6365214586257935,2.3634804785251617,77.77401924133301,19.86249566078186,2.6669887222168447e-07
74,7.5937217473983765,2.406308948993683,77.81691551208496,19.776757955551147,2.1705626983110424e-06
75,7.567892670631409,2.432084083557129,77.75489330291748,19.81303572654724,1.6437270919248672e-06
76,7.591298818588257,2.408677041530609,77.85087585449219,19.740461111068726,1.706947364691208e-06
77,7.539200186729431,2.460828423500061,77.7941083908081,19.74504590034485,2.0230487285229133e-06
78,7.619556784629822,2.3804308474063873,78.0184555053711,19.6011221408844,8.745471066010511e-07
79,7.574357390403748,2.4256092309951782,77.89010524749756,19.684301614761353,2.3602235166100658e-06
80,7.502422332763672,2.497595101594925,77.63929843902588,19.863094091415405,1.2327953189436504e-06
81,7.556972503662109,2.442992925643921,77.57981300354004,19.977214336395264,2.4445172136318537e-06
82,7.470025420188904,2.5299885869026184,77.80210494995117,19.667896032333374,9.904509400060097e-07
83,7.6907747983932495,2.3092131316661835,77.9643964767456,19.72639560699463,8.53473682345604e-07
84,7.542906999588013,2.4570825695991516,77.65201568603516,19.89090919494629,7.375698489406455e-07
85,7.73625910282135,2.263703793287277,77.87501335144043,19.86130714416504,2.6236413198031535e-06
86,7.51946747303009,2.4805137515068054,77.75876522064209,19.760732650756836,1.327625728093162e-06
87,7.528691291809082,2.471289038658142,77.68676280975342,19.841963052749634,1.390846000859503e-06
88,7.583933472633362,2.4160629510879517,77.79581546783447,19.788126945495605,3.097148193542142e-07
89,7.530354857444763,2.4696388840675354,77.48797416687012,20.04239320755005,4.425419093643873e-07
90,7.656257748603821,2.3437653481960297,77.88087368011475,19.775348901748657,1.6331903797971436e-06
91,7.604581117630005,2.3953883349895477,78.01331043243408,19.591314792633057,2.1600259861833188e-06
92,7.653635144233704,2.3463164269924164,77.8328275680542,19.820889234542847,3.4244314415101398e-06
93,7.627173662185669,2.372809797525406,77.56657600402832,20.060622692108154,1.1695750461773093e-06
94,7.5659918785095215,2.4339908361434937,77.50088691711426,20.065135955810547,1.2222586068159268e-06
95,7.559462785720825,2.4405188858509064,77.90523529052734,19.654254913330078,1.2960155917099914e-06
96,7.56898045539856,2.430964410305023,77.73233890533447,19.836724996566772,3.898583487257698e-06
97,7.570506930351257,2.4294933676719666,77.44065761566162,20.12984275817871,3.6133395591324993e-07
98,7.583465576171875,2.4165229499340057,77.46641635894775,20.117065906524658,8.113268338347101e-07
99,7.686576843261719,2.3134154081344604,77.99817085266113,19.688421487808228,5.479090306416224e-07
100,7.537904381752014,2.4621187150478363,77.85519123077393,19.682676792144775,1.6331903797971436e-06
101,7.640973329544067,2.3590095341205597,77.85762786865234,19.783376455307007,1.2117218946882032e-06
102,7.585955858230591,2.4140313267707825,77.72312641143799,19.862852096557617,9.061572429842216e-07
103,7.467790246009827,2.532227039337158,77.89485454559326,19.572900533676147,1.2222586068159268e-06
104,7.527543306350708,2.4724435806274414,77.40140914916992,20.1261568069458,9.272306672396687e-07
105,7.602625489234924,2.3973578214645386,77.98645973205566,19.616196155548096,1.1801117583050329e-06
106,7.526133060455322,2.4738995730876923,77.63434886932373,19.89173650741577,2.3075399559714482e-06
107,7.525718808174133,2.474285811185837,77.50540256500244,20.02030611038208,3.2663807595942874e-07
108,7.662798762321472,2.337205708026886,77.72942066192627,19.93336796760559,3.269211982072261e-07
