lane,E,ES,S,P,maximum_normalized_violation
116,7.737535834312439,2.262474149465561,77.68301963806152,20.0545072555542,7.05959712557475e-07
117,7.579416036605835,2.420538514852524,77.6328992843628,19.94659185409546,3.2136971989556696e-06
118,7.367708086967468,2.632317543029785,77.68107414245605,19.686590433120728,1.8123144859684432e-06
119,7.612279057502747,2.3876523971557617,77.88297653198242,19.729411602020264,4.846887578752813e-06
120,7.75837779045105,2.2415922582149506,77.64644622802734,20.111980438232422,2.117879137672425e-06
121,7.440961599349976,2.5590258836746216,77.77905941009521,19.661918878555298,8.850838187287746e-07
122,7.617964744567871,2.382080554962158,77.97926902770996,19.638620615005493,3.203160486827946e-06
123,7.654978036880493,2.34503835439682,77.87075996398926,19.78419065475464,1.1590383340495857e-06
124,7.67649233341217,2.323470562696457,77.86295413970947,19.813592433929443,2.6236413198031535e-06
125,7.59781539440155,2.4021591246128082,77.97618865966797,19.621671438217163,1.8017777738407198e-06
126,7.6475828886032104,2.352427840232849,77.62460231781006,20.022964477539062,7.586432731960926e-07
127,7.636430263519287,2.3635047674179077,77.7423095703125,19.894226789474487,4.594006487687449e-06
128,7.627708315849304,2.3722396790981293,77.76068687438965,19.86710548400879,3.677312532575504e-06
129,7.684792876243591,2.3151740431785583,77.6979112625122,19.98692750930786,2.3391500923546186e-06
130,7.748679518699646,2.251247614622116,77.92098045349121,19.82782006263733,5.152452230456795e-06
131,7.463750839233398,2.536238729953766,77.9334545135498,19.530315399169922,7.375698489406455e-07
132,7.425629496574402,2.5744014978408813,77.74686336517334,19.678713083267212,2.1916361225664896e-06
133,7.661919593811035,2.3380526900291443,78.05897235870361,19.60299253463745,1.959828455756572e-06
134,7.740453481674194,2.2595593333244324,77.8697395324707,19.870694875717163,9.061572429842216e-07
135,7.626490592956543,2.373497635126114,77.75167942047119,19.874823093414307,8.324002580901571e-07
136,7.5659143924713135,2.434072643518448,78.05243015289307,19.513511657714844,9.166939551119451e-07
137,7.746059894561768,2.25393608212471,77.92239189147949,19.82367753982544,3.1831800878072015e-07
138,7.73975133895874,2.260233759880066,78.02655696868896,19.713220596313477,1.0536712127723506e-06
139,7.6150596141815186,2.3848941922187805,77.6809549331665,19.934184551239014,3.266380759594287e-06
140,7.748200297355652,2.2517330944538116,77.9247522354126,19.823551177978516,4.709910321092408e-06
141,7.489020824432373,2.5109821557998657,77.97590732574463,19.513107538223267,2.1073424255447014e-07
142,7.577159404754639,2.422827184200287,77.6908540725708,19.886329174041748,9.483040914951156e-07
143,7.591657042503357,2.408376932144165,77.85181999206543,19.73978042602539,2.4023703651209597e-06
144,7.623307108879089,2.3767299950122833,77.82102108001709,19.80222463607788,2.6236413198031535e-06
145,7.578006386756897,2.4219828844070435,77.59649753570557,19.98152494430542,7.586432731960926e-07
146,7.682763934135437,2.317194938659668,77.82537937164307,19.85745072364807,2.908132547251688e-06
147,7.671288251876831,2.3287273943424225,77.64602184295654,20.025241374969482,1.1063547734109682e-06
148,7.709018588066101,2.290925979614258,77.68764972686768,20.02145528793335,3.919656911513144e-06
149,7.624450922012329,2.375549077987671,78.13211441040039,19.492344856262207,4.817786078843332e-07
150,7.5008004903793335,2.499198317527771,77.86329746246338,19.637513160705566,5.16191365590357e-07
151,7.788866758346558,2.2110670804977417,77.96902179718018,19.8199462890625,4.678300184709237e-06
152,7.567817568778992,2.432161420583725,77.49455451965332,20.073294639587402,1.4856764100090145e-06
153,7.637057304382324,2.362913638353348,77.90328979492188,19.733811616897583,2.0546588649060837e-06
154,7.54513144493103,2.4548985064029694,77.71317481994629,19.831905364990234,2.117879137672425e-06
155,7.638247013092041,2.3617982864379883,77.6749038696289,19.963265657424927,3.203160486827946e-06
156,7.713825106620789,2.286164313554764,77.8604793548584,19.853360652923584,7.48106561068369e-07
157,7.6504480838775635,2.349550724029541,77.50958442687988,20.140867233276367,1.376510308240952e-07
158,7.503672242164612,2.496328353881836,78.02385807037354,19.47980761528015,3.44127577060238e-07
159,7.548608183860779,2.451383024454117,78.0050802230835,19.543540477752686,6.216660155356869e-07
160,7.550187110900879,2.4497894942760468,78.10788631439209,19.44233536720276,1.6542638040525906e-06
161,7.65717089176178,2.3427924513816833,77.91319370269775,19.74403142929077,2.5920311834199827e-06
162,7.657256126403809,2.342725694179535,77.62321472167969,20.034074783325195,1.285478879582268e-06
163,7.546775937080383,2.4532048404216766,77.74812698364258,19.798680543899536,1.3592358644763325e-06
164,7.525345087051392,2.474730759859085,77.7396297454834,19.785594940185547,5.363186473011265e-06
165,7.476591467857361,2.5234588980674744,77.84475326538086,19.631754159927368,3.5614086991705456e-06
166,7.562036514282227,2.437954694032669,78.04937362670898,19.51267957687378,6.216660155356869e-07
167,7.389953136444092,2.6100730895996094,77.75535583496094,19.634554386138916,1.8544613344793373e-06
168,7.601328492164612,2.3987041413784027,77.9811143875122,19.620168209075928,2.3075399559714482e-06
169,7.772083282470703,2.2278992831707,78.0714225769043,19.700692892074585,1.2327953189436504e-06
170,7.59749174118042,2.4025747179985046,77.82927513122559,19.768112897872925,4.699373608964684e-06
171,7.560543417930603,2.4394571781158447,77.82849311828613,19.73204255104065,4.129530924722856e-07
172,7.788259983062744,2.211686372756958,77.88962364196777,19.898723363876343,3.7932163659804626e-06
173,7.678306698799133,2.3216664791107178,77.80517578125,19.87317681312561,1.8966081829902313e-06
174,7.587198615074158,2.412787079811096,78.07952404022217,19.50770378112793,1.0115243642614567e-06
175,7.470805048942566,2.5292128324508667,77.58538246154785,19.88539457321167,1.2644054553268208e-06
176,7.713058590888977,2.286956310272217,77.64707565307617,20.06596088409424,1.0536712127723506e-06
177,7.558218836784363,2.441796362400055,77.75595664978027,19.80223774909973,1.0747446370277978e-06
178,7.781611084938049,2.2183336317539215,77.9192066192627,19.862492084503174,3.909120199385421e-06
