lane,E,ES,S,P,maximum_normalized_violation
68,7.661119699478149,2.3388583958148956,78.08544158935547,19.57570791244507,1.5488966827753555e-06
69,7.740850448608398,2.2591277956962585,77.65780925750732,20.083072185516357,1.538359970647632e-06
70,7.511582374572754,2.4884116649627686,78.0510139465332,19.460580348968506,4.214684851089403e-07
71,7.56940484046936,2.4306027591228485,77.6668643951416,19.902527332305908,5.373723185138989e-07
72,7.616184949874878,2.3837406933307648,77.8809642791748,19.7353458404541,5.25781935173403e-06
73,7.6365262269973755,2.363484799861908,77.77401447296143,19.862496852874756,7.797166974515395e-07
74,7.593749761581421,2.4063193798065186,77.81690120697021,19.77674126625061,4.889034427263707e-06
75,7.567877769470215,2.432078868150711,77.75490283966064,19.813048839569092,3.0661832291675406e-06
76,7.591283321380615,2.4086689949035645,77.85089015960693,19.7404682636261,3.3717478808715222e-06
77,7.539226412773132,2.460838109254837,77.79408931732178,19.74502921104431,4.5623963513042785e-06
78,7.619553208351135,2.380424439907074,78.01846504211426,19.60112452507019,1.580506819158526e-06
79,7.574334144592285,2.425602525472641,77.89012432098389,19.684317111968994,4.478102654282491e-06
80,7.502439022064209,2.497599869966507,77.63928890228271,19.863080978393555,2.7500818653358353e-06
81,7.556946873664856,2.442982494831085,77.57983207702637,19.97722864151001,4.9944015485409424e-06
82,7.47003972530365,2.529996335506439,77.80209064483643,19.667887687683105,2.5498843349090888e-06
83,7.690768241882324,2.309211790561676,77.96440601348877,19.72639799118042,1.41191942511495e-06
84,7.542900443077087,2.4570831656455994,77.65201091766357,19.890918731689453,1.1590383340495857e-06
85,7.736231088638306,2.263694554567337,77.87502765655518,19.861326217651367,5.25781935173403e-06
86,7.5194549560546875,2.480507791042328,77.75877952575684,19.760740995407104,2.6341780319308767e-06
87,7.528679966926575,2.471282333135605,77.68677711486816,19.84196901321411,2.6657881683140474e-06
88,7.5839316844940186,2.4160635471343994,77.79581069946289,19.78812575340271,3.371747880871522e-07
89,7.530351877212524,2.4696384370326996,77.48796939849854,20.04239559173584,6.848862883020279e-07
90,7.656278014183044,2.3437775671482086,77.88084506988525,19.77534294128418,3.930193623640868e-06
91,7.604557275772095,2.3953843116760254,78.01331043243408,19.59133744239807,4.130391154067615e-06
92,7.653596997261047,2.346300631761551,77.83285140991211,19.820910692214966,7.238721231746049e-06
93,7.627162337303162,2.3728089034557343,77.56657600402832,20.06063222885132,2.033585440650637e-06
94,7.565982341766357,2.4339893460273743,77.50088691711426,20.06514310836792,2.0019753042674666e-06
95,7.559450268745422,2.440514415502548,77.90524482727051,19.654260873794556,2.4972007742704712e-06
96,7.568938732147217,2.430949956178665,77.73236751556396,19.83675241470337,7.87092395940946e-06
97,7.570511102676392,2.4294959008693695,77.44065761566162,20.12984275817871,4.952254700030048e-07
98,7.583460807800293,2.416517585515976,77.4664306640625,20.117061138153076,1.5278232585199085e-06
99,7.686575651168823,2.31341153383255,77.99817562103271,19.688420295715332,9.061572429842216e-07
100,7.537925839424133,2.462126612663269,77.85518169403076,19.68266248703003,3.7089226689586747e-06
101,7.640961408615112,2.359006255865097,77.85762786865234,19.783384799957275,2.286466531716001e-06
