lane,state_pool,operator_pool,scratch_pool,staging_pool,maximum_normalized_violation
48,4.085916042327881,2.800819158554077,2.0670011043548584,1.0462638139724731,5.960464477539063e-08
49,4.126246929168701,3.043539047241211,1.8302143812179565,1.0,1.7881393432617188e-07
50,4.076168060302734,3.1149678230285645,1.8088641166687012,1.0,0.0
51,3.8637795448303223,3.0834076404571533,2.0528130531311035,1.0,1.1920928955078125e-07
52,4.081701278686523,2.8857381343841553,2.021003007888794,1.011557698249817,5.960464477539063e-08
53,3.8788092136383057,2.8913609981536865,2.1489412784576416,1.080888271331787,0.0
54,4.025358200073242,3.147657871246338,1.82698392868042,1.0,0.0
55,4.077188491821289,3.0355284214019775,1.8872836828231812,1.0,2.980232238769531e-07
56,4.142223834991455,2.9526772499084473,1.8667548894882202,1.038343906402588,0.0
57,4.007718563079834,3.0350117683410645,1.9572699069976807,1.0,1.1920928955078125e-07
58,3.9582061767578125,2.9956912994384766,1.9492706060409546,1.096832513809204,2.980232238769531e-07
59,4.140894889831543,2.8686742782592773,1.8991620540618896,1.0912690162658691,1.1920928955078125e-07
60,4.12139892578125,2.8670194149017334,2.0115818977355957,1.0,1.1920928955078125e-07
61,3.9667160511016846,2.9392812252044678,2.0940029621124268,1.0,1.1920928955078125e-07
62,4.071403503417969,2.8171122074127197,2.111485004425049,1.0,3.5762786865234375e-07
63,3.9626946449279785,2.906116247177124,1.9956680536270142,1.1355211734771729,5.960464477539063e-08
64,4.1529316902160645,2.9155335426330566,1.9011787176132202,1.0303559303283691,0.0
65,3.91715931892395,3.0280301570892334,1.983412742614746,1.071397304534912,0.0
66,3.8514485359191895,3.026280403137207,2.1222710609436035,1.0,0.0
67,4.040572166442871,2.8867669105529785,2.0726611614227295,1.0,1.1920928955078125e-07
68,3.9883646965026855,2.906182050704956,2.1054539680480957,1.0,3.5762786865234375e-07
69,4.0876240730285645,2.8386077880859375,1.9305665493011475,1.1432018280029297,1.1920928955078125e-07
70,3.8690624237060547,3.0187456607818604,2.1121926307678223,1.0,3.5762786865234375e-07
71,4.025582790374756,3.060328960418701,1.8981280326843262,1.0159602165222168,0.0
72,3.833928108215332,2.9773409366607666,2.1307687759399414,1.0579625368118286,1.7881393432617188e-07
73,4.078308582305908,2.949540376663208,1.9639580249786377,1.0081934928894043,2.384185791015625e-07
74,4.14680290222168,2.9220612049102783,1.9311362504959106,1.0,1.7881393432617188e-07
75,3.8539044857025146,2.987036943435669,2.0649945735931396,1.0940635204315186,0.0
76,3.8920435905456543,3.021204710006714,2.070979118347168,1.0157724618911743,0.0
77,4.087254047393799,2.974606513977051,1.938139796257019,1.0,1.7881393432617188e-07
78,3.9602584838867188,2.991198778152466,2.0485424995422363,1.0,0.0
79,3.8390822410583496,3.061704635620117,2.0992133617401123,1.0,1.1920928955078125e-07
80,3.989729881286621,2.9810078144073486,1.9586825370788574,1.0705798864364624,5.960464477539063e-08
81,3.8017022609710693,3.053809404373169,1.9728946685791016,1.1715940237045288,1.7881393432617188e-07
82,3.9609334468841553,3.0772459506988525,1.9618209600448608,1.0,1.7881393432617188e-07
83,4.042657852172852,2.9187512397766113,2.0385913848876953,1.0,2.384185791015625e-07
84,3.912557601928711,3.0303752422332764,1.9688105583190918,1.0882569551467896,1.7881393432617188e-07
85,3.99573016166687,2.977848529815674,2.0166378021240234,1.0097832679748535,0.0
86,3.8707363605499268,3.1423864364624023,1.986877679824829,1.0,2.384185791015625e-07
87,3.8658838272094727,3.099808931350708,1.9783546924591064,1.0559535026550293,4.76837158203125e-07
88,4.005788326263428,3.0669190883636475,1.9272929430007935,1.0,1.7881393432617188e-07
89,3.933009624481201,3.0748672485351562,1.8574556112289429,1.1346677541732788,1.1920928955078125e-07
90,4.1758036613464355,2.873459577560425,1.9507372379302979,1.0,2.384185791015625e-07
91,3.871358871459961,3.0332813262939453,2.0953598022460938,1.0,0.0
92,3.830148696899414,3.0132241249084473,2.0813002586364746,1.0753270387649536,5.960464477539063e-08
93,4.015285968780518,3.0809154510498047,1.828386902809143,1.0754114389419556,0.0
94,3.942221164703369,3.11489200592041,1.8303800821304321,1.1125072240829468,2.384185791015625e-07
95,3.8710718154907227,2.9907948970794678,2.131812572479248,1.0063213109970093,2.980232238769531e-07
96,3.7328805923461914,3.1146302223205566,2.0501465797424316,1.1023428440093994,1.1920928955078125e-07
97,4.036237716674805,3.085362672805786,1.76690673828125,1.1114933490753174,2.384185791015625e-07
98,3.94343638420105,2.9915549755096436,1.869844913482666,1.1951639652252197,1.1920928955078125e-07
99,4.05459451675415,2.9344024658203125,2.0110034942626953,1.0,2.384185791015625e-07
100,4.039833068847656,2.936116933822632,2.024050235748291,1.0,1.1920928955078125e-07
101,3.9470784664154053,2.88917875289917,2.100432872772217,1.0633100271224976,5.960464477539063e-08
102,3.925032138824463,2.9713330268859863,2.016885280609131,1.0867503881454468,4.172325134277344e-07
103,3.9649200439453125,3.090891122817993,1.944189190864563,1.0,1.7881393432617188e-07
104,3.8714983463287354,3.0324785709381104,1.8668262958526611,1.2291970252990723,1.1920928955078125e-07
105,3.932492256164551,3.019714832305908,2.047793388366699,1.0,2.384185791015625e-07
106,4.130394458770752,3.069202423095703,1.8004034757614136,1.0,1.7881393432617188e-07
107,4.002455234527588,3.097169876098633,1.8214595317840576,1.0789151191711426,0.0
108,4.132327079772949,2.974442720413208,1.8932304382324219,1.0,1.1920928955078125e-07
109,3.8290135860443115,3.0005640983581543,2.1704225540161133,1.0,1.1920928955078125e-07
110,4.035700798034668,2.9298033714294434,1.9065711498260498,1.1279253959655762,3.5762786865234375e-07
111,3.98160982131958,3.049154281616211,1.9692360162734985,1.0,5.960464477539063e-08
112,3.99088716506958,2.866037130355835,2.143075704574585,1.0,0.0
113,3.7715747356414795,3.0712101459503174,2.1572153568267822,1.0,1.1920928955078125e-07
